probeset,human1,human2,human3,human4,chimp1,chimp2,chimp3,chimp4
1007_s_at,6.75378974247776,6.93265237339259,7.32799071182831,6.95752478371924,5.31967484886285,7.35806566868421,6.82392726516533,6.2648525562143
1053_at,8.41163999867383,8.34711445318181,8.24389239889147,8.32007292695277,8.87152631144714,8.27003032872945,8.44522947781756,8.43628892798895
117_at,5.9137358287308,4.99138616059359,5.31395308106302,7.09502020198658,5.38748338469027,5.76015809310265,4.75750473888548,5.1184290427139
121_at,6.71633156911745,6.63144458997879,6.99754598995496,6.82372621439894,6.69967933184784,6.72412200192824,6.75760061366333,6.67075018427452
1255_g_at,6.95830747194194,7.2359155495664,7.07592813427038,7.13303053334016,6.56128189925138,7.28669791079757,7.08097357944638,6.60342966111501
1294_at,4.24691261918699,4.15721228684791,4.26206020675869,4.21383923628968,4.19268979044917,4.18010121727585,4.56141829598476,4.34174887554798
1316_at,7.7234339138261,8.03790987753167,9.53921050116108,7.78713774823371,10.9050396726314,8.02150410639671,7.67091183326794,8.30331982605339
1320_at,2.58096356685848,2.2742876395653,2.39126801752759,2.30534332320299,2.60516875576958,2.5416099942552,2.40436917662498,2.46595702204224
1405_i_at,7.37614602841786,7.1090677381028,7.2223668890269,7.32241973769934,7.41602755487911,7.5072318841783,7.400224142919,7.4928295977422
1431_at,4.79134780025185,4.70206014656507,4.63473650789524,4.87835802163113,5.07046409063366,4.92353774747359,4.97010798655173,4.92358892732713
1438_at,8.7814209300189,8.47480820764958,8.64744715126428,8.77354101486616,8.09872646575315,8.43166443785126,8.33705035691222,8.7015503399505
1487_at,9.11129275699242,8.51219610015849,8.62284995068203,9.30918497971663,8.51681700602598,8.0801882581529,7.87010158029161,8.2221759978703
1494_f_at,3.62005049064448,3.69574304821848,3.6282576578188,3.84432594746154,3.91287283224094,3.76384741010606,3.81442314574935,3.6788333934621
1552256_a_at,6.99218036790663,7.024363435666,6.953924115146,7.05364686885961,7.57656902838086,6.49845651174336,6.21680771982157,6.27132820069196
1552257_a_at,7.9700364367232,8.04867957354545,7.89752132554569,8.12318028028598,8.73342846004968,8.23004513706107,7.74192275276343,7.81417123559999
1552258_at,2.22769697973757,1.99750188468373,1.98267946400526,2.26948425486866,2.12669610779814,2.24298487472797,2.25172553274597,2.26663302154457
1552261_at,4.66722744441464,4.76027109479388,4.8184609771931,4.74590680883369,4.48608153725974,4.57941559292853,4.85574346810669,4.36317928772025
1552263_at,6.50288823445819,6.40293593512539,7.14478953618109,6.54007389137452,6.61466370731851,6.73348442086664,6.81662020802828,7.06434842074831
1552264_a_at,6.21425822613138,5.94296562220595,6.52129665918106,6.2450861253154,5.65721813255401,5.71375999055032,5.75290079841547,5.96874852805504
1552266_at,6.88551223242811,6.65095180492968,6.39790373928754,6.56447931624101,6.63455610983744,6.61650276575622,6.7256107660534,6.7127519652713
1552269_at,3.82230235486648,3.97760872821237,4.19674822267669,3.73957206158693,4.23823754349997,4.26299527234215,4.42483808571507,4.02485650345605
