1,DDR1,chr6p21.3,ENSG00000137332,600408
2,RFC2,chr7q11.23,ENSG00000049541,600404
3,HSPA6,chr1q23,ENSG00000173110,140555
4,PAX8,chr2q12-q14,ENSG00000125618,167415
5,GUCA1A,chr6p21.1,ENSG00000048545,600364
6,UBE1L,chr3p21,ENSG00000182179,191325
7,THRA,chr17q11.2,REPLACE_NULL,190120
8,PTPN21,chr14q31.3,ENSG00000070778,603271
9,CCL5,chr17q11.2-q12,ENSG00000161570,187011
10,CYP2E1,chr10q24.3-qter,ENSG00000130649,124040
11,EPHB3,chr3q21-qter,ENSG00000182580,601839
12,ESRRA,chr11q13,ENSG00000173153,601998
13,CYP2A6,chr19q13.2,ENSG00000198077,122700
14,SCARB1,chr12q24.31,ENSG00000073060,601040
15,TTLL12,chr22q13.31,ENSG00000100304,REPLACE_NULL
16,MGC4677,chr2p11.2,REPLACE_NULL,REPLACE_NULL
17,WFDC2,chr20q12-q13.2,ENSG00000101443,REPLACE_NULL
18,MAPK1,chr22q11.2,REPLACE_NULL,176948
19,ADAM32,chr8p11.23,ENSG00000197140,REPLACE_NULL
20,SPATA17,chr1q41,ENSG00000162814,REPLACE_NULL
21,MGC24975,chr19p13.3,REPLACE_NULL,REPLACE_NULL
22,PXK,chr3p14.3,ENSG00000168297,REPLACE_NULL
23,VPS18,chr15q14-q15,ENSG00000104142,608551
24,C9orf30,chr9q31.1,ENSG00000066697,REPLACE_NULL
25,HCP1,chr17q11.2,ENSG00000076351,REPLACE_NULL
26,TIMD4,chr5q33.3,ENSG00000145850,610096
27,SLC39A5,chr12q13.2,ENSG00000139540,608730
28,ZDHHC11,chr5p15.33,ENSG00000188818,REPLACE_NULL
29,ATP6V1E2,chr2p21,ENSG00000171142,REPLACE_NULL
30,AFG3L1,chr16q24.3,ENSG00000167540,603020
31,PIGX,chr3q29,ENSG00000163964,610276
32,MGC42090,chr7p15.3,ENSG00000173452,REPLACE_NULL
33,SLC39A13,chr11p11.2,REPLACE_NULL,608735
34,VMD2L2,chr1p33-p32.3,ENSG00000142959,607336
35,C6orf199,chr6q21,ENSG00000155085,REPLACE_NULL
36,CORO6,chr17q11.2,ENSG00000167549,REPLACE_NULL
37,TMEM106A,chr17q21.31,ENSG00000184988,REPLACE_NULL
38,ALG10,chr12p11.1,ENSG00000139133,152427
39,C18orf17,chr18q11.2,ENSG00000168234,REPLACE_NULL
40,NEXN,chr1p31.1,ENSG00000162614,REPLACE_NULL
